lane_id,departure_site_id,arrival_site_id,physical_legs,vehicle_distance_km,emissions_kgco2_min,emissions_kgco2_max,waybills
lane_00919,site_0874,site_0164,9,4197.72,3545.130846730161,3545.130846730161,10
lane_00237,site_0255,site_1762,97,4549.3,3514.0707743910784,3514.0707743910784,1358
lane_02511,site_2095,site_0925,39,4502.31,3490.200678520576,3490.200678520576,102
lane_01567,site_1358,site_2119,2,3800.68,3347.0091642293964,3347.0091642293964,2
lane_00228,site_0255,site_0807,44,6332.78,1954.2832194731175,3218.646801850364,293
lane_02497,site_2095,site_0164,77,4165.73,3217.7851640920903,3217.7851640920903,86
lane_00694,site_0665,site_1118,5,3727.8500000000004,3202.20769947535,3202.20769947535,7
lane_00224,site_0255,site_0191,74,4137.34,3195.8555333170343,3195.8555333170343,783
lane_00752,site_0686,site_2249,5,3706.45,3183.825188170235,3183.825188170235,8
lane_02943,site_2322,site_0164,14,4022.34,3107.024693615328,3107.024693615328,17
lane_02030,site_1701,site_2119,2,3472.42,3057.932149524149,3057.932149524149,2
lane_02541,site_2095,site_2153,8,3778.56,3020.9214551057194,3020.9214551057194,8
lane_03013,site_2373,site_2194,1,3420.36,3012.0863279633277,3012.0863279633277,1
lane_00216,site_0246,site_1154,30,5425.950000000001,2093.8915071906417,2996.656105401235,333
lane_00239,site_0255,site_2128,65,3725.15,2877.462630563587,2877.462630563587,639
lane_00217,site_0246,site_1425,35,3670.19,2835.0092136070148,2835.0092136070148,1233
lane_02505,site_2095,site_0665,3,3236.88,2627.8955755758507,2627.8955755758507,11
